name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gemm_eigen_4x4_float/repeats:20/real_time/threads:1_mean",20,8.64683,8.64678,ns,,,,,
"gemm_blaze_4x4_float/repeats:20/real_time/threads:1_mean",20,5.62722,5.6272,ns,,,,,
"gemm_custom_4x4_float/repeats:20/real_time/threads:1_mean",20,316.72,316.719,ns,,,,,
"gemm_fastor_4x4_float/repeats:20/real_time/threads:1_mean",20,6.48349,6.48348,ns,,,,,
"gemm_eigen_6x6_float/repeats:20/real_time/threads:1_mean",20,14.0491,14.049,ns,,,,,
"gemm_blaze_6x6_float/repeats:20/real_time/threads:1_mean",20,10.1879,10.1879,ns,,,,,
"gemm_custom_6x6_float/repeats:20/real_time/threads:1_mean",20,5.16528,5.16527,ns,,,,,
"gemm_fastor_6x6_float/repeats:20/real_time/threads:1_mean",20,11.4832,11.4832,ns,,,,,
"gemm_eigen_8x8_float/repeats:20/real_time/threads:1_mean",20,42.5612,42.5611,ns,,,,,
"gemm_blaze_8x8_float/repeats:20/real_time/threads:1_mean",20,26.1236,26.1234,ns,,,,,
"gemm_custom_8x8_float/repeats:20/real_time/threads:1_mean",20,9.00033,9.0003,ns,,,,,
"gemm_fastor_8x8_float/repeats:20/real_time/threads:1_mean",20,22.9902,22.9901,ns,,,,,
"gemm_eigen_4x4_double/repeats:20/real_time/threads:1_mean",20,1.77609,1.77608,ns,,,,,
"gemm_blaze_4x4_double/repeats:20/real_time/threads:1_mean",20,3.25795,3.25794,ns,,,,,
"gemm_custom_4x4_double/repeats:20/real_time/threads:1_mean",20,426.162,426.16,ns,,,,,
"gemm_fastor_4x4_double/repeats:20/real_time/threads:1_mean",20,3.53936,3.53936,ns,,,,,
"gemm_eigen_6x6_double/repeats:20/real_time/threads:1_mean",20,12.6836,12.6836,ns,,,,,
"gemm_blaze_6x6_double/repeats:20/real_time/threads:1_mean",20,19.4928,19.4927,ns,,,,,
"gemm_fastor_6x6_double/repeats:20/real_time/threads:1_mean",20,15.8592,15.8592,ns,,,,,
"gemm_eigen_8x8_double/repeats:20/real_time/threads:1_mean",20,50.9754,50.9752,ns,,,,,
"gemm_blaze_8x8_double/repeats:20/real_time/threads:1_mean",20,23.408,23.408,ns,,,,,
"gemm_fastor_8x8_double/repeats:20/real_time/threads:1_mean",20,22.5381,22.5381,ns,,,,,
