name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inversion_eigen_4x4_float/repeats:20/real_time/threads:1_mean",20,7.15634,7.15632,ns,,,,,
"inversion_blaze_4x4_float/repeats:20/real_time/threads:1_mean",20,9.4736,9.47357,ns,,,,,
"inversion_custom_4x4_float/repeats:20/real_time/threads:1_mean",20,39.116,39.1159,ns,,,,,
"inversion_fastor_4x4_float/repeats:20/real_time/threads:1_mean",20,7.03436,7.03433,ns,,,,,
"inversion_eigen_6x6_float/repeats:20/real_time/threads:1_mean",20,246.716,246.715,ns,,,,,
"inversion_blaze_6x6_float/repeats:20/real_time/threads:1_mean",20,83.2401,83.24,ns,,,,,
"inversion_custom_6x6_float/repeats:20/real_time/threads:1_mean",20,97.0392,97.0388,ns,,,,,
"inversion_fastor_6x6_float/repeats:20/real_time/threads:1_mean",20,39.2199,39.2198,ns,,,,,
"inversion_eigen_8x8_float/repeats:20/real_time/threads:1_mean",20,394.916,394.915,ns,,,,,
"inversion_blaze_8x8_float/repeats:20/real_time/threads:1_mean",20,831.899,831.895,ns,,,,,
"inversion_custom_8x8_float/repeats:20/real_time/threads:1_mean",20,177.665,177.664,ns,,,,,
"inversion_fastor_8x8_float/repeats:20/real_time/threads:1_mean",20,60.4528,60.4527,ns,,,,,
"inversion_eigen_4x4_double/repeats:20/real_time/threads:1_mean",20,9.30746,9.30743,ns,,,,,
"inversion_blaze_4x4_double/repeats:20/real_time/threads:1_mean",20,9.6353,9.63527,ns,,,,,
"inversion_custom_4x4_double/repeats:20/real_time/threads:1_mean",20,32.7748,32.7747,ns,,,,,
"inversion_fastor_4x4_double/repeats:20/real_time/threads:1_mean",20,9.4059,9.40586,ns,,,,,
"inversion_eigen_6x6_double/repeats:20/real_time/threads:1_mean",20,269.143,269.142,ns,,,,,
"inversion_blaze_6x6_double/repeats:20/real_time/threads:1_mean",20,84.1022,84.1019,ns,,,,,
"inversion_fastor_6x6_double/repeats:20/real_time/threads:1_mean",20,53.7251,53.725,ns,,,,,
"inversion_eigen_8x8_double/repeats:20/real_time/threads:1_mean",20,410.092,410.091,ns,,,,,
"inversion_blaze_8x8_double/repeats:20/real_time/threads:1_mean",20,856.95,856.945,ns,,,,,
"inversion_fastor_8x8_double/repeats:20/real_time/threads:1_mean",20,62.1675,62.1673,ns,,,,,
