name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"similarity_eigen_4x4_float/repeats:20/real_time/threads:1_mean",20,5.08217,5.08214,ns,,,,,
"similarity_blaze_4x4_float/repeats:20/real_time/threads:1_mean",20,12.0033,12.0032,ns,,,,,
"similarity_custom_4x4_float/repeats:20/real_time/threads:1_mean",20,16.7888,16.7887,ns,,,,,
"similarity_fastor_4x4_float/repeats:20/real_time/threads:1_mean",20,5.17528,5.17522,ns,,,,,
"similarity_eigen_6x6_float/repeats:20/real_time/threads:1_mean",20,34.5964,34.5962,ns,,,,,
"similarity_blaze_6x6_float/repeats:20/real_time/threads:1_mean",20,28.3654,28.3653,ns,,,,,
"similarity_custom_6x6_float/repeats:20/real_time/threads:1_mean",20,43.8921,43.8918,ns,,,,,
"similarity_fastor_6x6_float/repeats:20/real_time/threads:1_mean",20,27.3788,27.3788,ns,,,,,
"similarity_eigen_8x8_float/repeats:20/real_time/threads:1_mean",20,88.0704,88.07,ns,,,,,
"similarity_blaze_8x8_float/repeats:20/real_time/threads:1_mean",20,49.1584,49.1583,ns,,,,,
"similarity_custom_8x8_float/repeats:20/real_time/threads:1_mean",20,75.4724,75.4723,ns,,,,,
"similarity_fastor_8x8_float/repeats:20/real_time/threads:1_mean",20,21.6285,21.6284,ns,,,,,
"similarity_eigen_4x4_double/repeats:20/real_time/threads:1_mean",20,3.76907,3.76907,ns,,,,,
"similarity_blaze_4x4_double/repeats:20/real_time/threads:1_mean",20,8.16639,8.16636,ns,,,,,
"similarity_custom_4x4_double/repeats:20/real_time/threads:1_mean",20,863.528,863.527,ns,,,,,
"similarity_fastor_4x4_double/repeats:20/real_time/threads:1_mean",20,5.33674,5.33671,ns,,,,,
"similarity_eigen_6x6_double/repeats:20/real_time/threads:1_mean",20,22.5315,22.5315,ns,,,,,
"similarity_blaze_6x6_double/repeats:20/real_time/threads:1_mean",20,28.4176,28.4175,ns,,,,,
"similarity_fastor_6x6_double/repeats:20/real_time/threads:1_mean",20,36.1179,36.1179,ns,,,,,
"similarity_eigen_8x8_double/repeats:20/real_time/threads:1_mean",20,121.01,121.009,ns,,,,,
"similarity_blaze_8x8_double/repeats:20/real_time/threads:1_mean",20,47.5964,47.5962,ns,,,,,
"similarity_fastor_8x8_double/repeats:20/real_time/threads:1_mean",20,35.281,35.2809,ns,,,,,
